titleId,storyLine
https://www.imdb.com/title/tt6165182/,"With BBC2 attempting to introduce more colour broadcasts, Man Alive gets its first edition to be shown in colour. Appropriately enough it's an edition that shows a seaside variety tour, making the most of the switch."
https://www.imdb.com/title/tt6165186/,"Marios, a young man with cerebral palsy, is waiting for his uncle, with his mother at home, to celebrate together his 22nd birthday. But the arrival of his uncle, with his new girlfriend, will upset the family and create a suffocating atmosphere in the place."
https://www.imdb.com/title/tt6165190/,"Blackshape was created for the specific reason of disrupting the market and creating a new class of ultralight aircraft, one that delivers optimum performance while raising the bar on construction and safety levels. On delivering a plane that has exceptional speed, with one of the lowest consumption rates in the market. On industrializing a plane that focuses 100% on ... Read all"
https://www.imdb.com/title/tt6165194/,Two rival neighborhoods handle the wake of a failed gang truce
https://www.imdb.com/title/tt6165196/,"""TATTLETALES"" Welcomes 3 New Star Couples are Bill & Ann Cullen ""THE NEW TO TELL THE TRUTH & THE $25,000 PYRAMID (1975)"", Ron Kass & Joan Collins & Jack Ryan & Zsa Zsa Gabor."
https://www.imdb.com/title/tt6165214/,A place where the sun shines only one day every seven years. Who gets to see it and who misses it because of a cruel joke.
https://www.imdb.com/title/tt6165218/,"An inspiring documentary following the journey of Beth Moran learning to fly at Sussex Flying Club at Brighton City Airport , England and experiencing numerous other aviation experiences."
https://www.imdb.com/title/tt6165228/,"When a woman buys a set of Haitian masks to decorate her dream home, the voodoo spirit attached to the masks emerges to wreak havoc."
https://www.imdb.com/title/tt6165244/,Harry Connick Jr. (Harry (2016)); Dermot Mulroney (Pure Genius (2016)); Kandi Burruss (The Real Housewives of Atlanta (2008)).
https://www.imdb.com/title/tt6165248/,The guys encounter a mad scientist who creates his own lightning and hypnotizes Frank.
https://www.imdb.com/title/tt6165252/,An interview with singer Kenny Chesney; Victoria's Secret angel Martha Hunt; Heidi Klum's Halloween bash; CMA hosts Carrie Underwood and Brad Paisley.
https://www.imdb.com/title/tt6165254/,Anderson reports on the Federal Bureau of Investigation's latest review of the Hillary Clinton email scandal; Battle for The White House: James Comey's path to the top job at the FBI; and more.
https://www.imdb.com/title/tt6165256/,Director Mel Gibson (Hacksaw Ridge (2016)); Benedict Cumberbatch (Doctor Strange (2016)); author Curt Menefee; the most recently eliminated contestants from Dancing with the Stars (2005).
https://www.imdb.com/title/tt6165262/,"Pink river dolphins, a baby tapir and a deadly caiman deep in the Amazon."
https://www.imdb.com/title/tt6165266/,"All 4 One sing ""I Can Love You Like That"" and ""I'm Your Man."""
https://www.imdb.com/title/tt6165272/,"Hollywood films the murder mystery, 20 years after the death of JonBenét Ramsey."
https://www.imdb.com/title/tt6165288/,"Explore the cosmos with the Pawn Stars when a cast signed helmet from the 1960's TV show ""Lost in Space"" orbits the shop. Will Rick think it's out of this world or will he yell, ""Danger""? Then, a strange antique object surfaces in the shop and has Rick and Corey scratching their heads. Will they unravel the mystery and make a deal or will they remain clueless? And lat... Read all"
https://www.imdb.com/title/tt6165298/,"Arthur says one of his three young boys suffered severe injuries, while in the mother's care."
https://www.imdb.com/title/tt6165300/,A look at the Balgay Approved School for girls.
https://www.imdb.com/title/tt6165314/,"A half-day trip from Lakeville, Connecticut, to Great Barrington, Massachusetts. The peaceful landscape outside the school bus window and the noisy crowd reached a wonderful balance."
https://www.imdb.com/title/tt6165326/,"During a late night broadcast, a pirate radio host explores the many distractions that come between us and accomplishing anything."
https://www.imdb.com/title/tt6165328/,"On the African plains, where only the strong survive, one big cat rules supreme. This is life in the raw: savage, beautiful and unforgettable. During the eight years that Jurgen Jozefowicz filmed a pride of lions in South Africa's Kruger National Park, he won the trust of the dominant male and, astonishingly, was accepted into the pride. This is his story. How does it... Read all"
https://www.imdb.com/title/tt6165330/,"When a single animal develops foot and mouth disease, the department of health demands that all other animals on the same farm are slaughtered. The unspoken cost is that to the farmers, many of whom have built up herds over their entire working lives."
https://www.imdb.com/title/tt6165334/,"The Baudelaires are stunned to find Aunt Josephine's suicide note, but quickly find everything about the circumstances highly suspicious."
https://www.imdb.com/title/tt6165336/,"Klaus continues acting strangely following his optometry appointment, leading the Baudelaires to discover the dark truth behind the Lucky Smells Lumbermill."
https://www.imdb.com/title/tt6165338/,The orphans are shipped off to work in a miserable mill with a distant relative who has a complicated name and pays his employees with sandwich tokens.
https://www.imdb.com/title/tt6165342/,A psychological film exploring the fine line between reality and imagination.
https://www.imdb.com/title/tt6165344/,A deadly Assassin questions his ways and choices when he is trapped completely nude in a bathroom with a poisonous spider.
https://www.imdb.com/title/tt6165350/,Two children wandering in a dead world where degenerates echoes of the past resonate.
https://www.imdb.com/title/tt6165352/,"Scottish miners march on Westminster to protest against the continual closure of coalmines, and we meet a young couple forced to move so that he can find mining work elsewhere."
https://www.imdb.com/title/tt6165358/,"Since the tender age of 16, multi-talented Chris Brown could sing, dance, rap, and even paint with the best of them. BET revisits the moments that helped build the career of a multi-platinum R&B superstar."
https://www.imdb.com/title/tt6165372/,"'Next...' follows zany, date addict, Tobias (Rob Lobosco) on his trials, tribulations, perils of online dating and date phobic Penny (Lee McClenaghan)."
https://www.imdb.com/title/tt6165378/,"Today, Trey Songz is an award-winning, platinum-selling superstar, dropping hit after hit and headlining tours around the world. But before anyone knew his name, BET saw his potential. BET takes a look back at its most memorable moments with Trey Songz."
https://www.imdb.com/title/tt6165388/,"With the support of BET, Nicki Minaj's career has soared beyond imagination. With her fashion-forward style and streak of hit records, Nicki's domination was inevitable. Now a pop darling who sells out world tours and is an entrepreneur in her own right, Nicki Minaj is a BET favorite."
https://www.imdb.com/title/tt6165390/,"Bankruptcy manager Dr. Stelter survives a shootist's attack, unlike his body guard Gerrit Blum. Stelter received repeated death threats while liquidating a distribution company, which costs many jobs, yielding suspects, especially Dusan Matic, whose ability to follow up on threats is doubted by the team. Looking into Stelter's and Blum's private life proves interestin... Read all"
